Tytu³;Rodzaj;Czas Trwania;Opis;Link do plakatu;Zwiastun (Link)
TAJEMNICZY OGRÓD;Dramat, Familijny, Fantasy;100 min;Gdy dziesiêcioletnia osierocona Mary przybywa do tajemniczej posiad³oœci w Yorkshire, by zamieszkaæ ze swym unikaj¹cym ludzi wujem i jego bardzo zasadnicz¹ gospodyni¹, nie mo¿e nawet podejrzewaæ, ¿e w³aœnie zaczyna siê najbardziej niezwyk³a przygoda jej ¿ycia. Mimo surowych zakazów, Mary zaczyna poznawaæ ukryte zak¹tki posiad³oœci, by wkrótce trafiæ na fantastyczny i ogromny ogród. To tu, wraz z miejscowymi ch³opcami Dickonem i Colinem oraz bezpañskim, uroczym psiskiem, dziewczynka odkryje moc wyobraŸni, przyjaŸni i odwagi.;https://www.cinema-city.pl/xmedia-cw/repo/feats/posters/4024D2R-lg.jpg;https://www.youtube.com/watch?v=IDxaLAMrB-o&ab_channel=KinoHeliosPolska
MULAN;Przygodowy, Dramat;115 min;Aby obroniæ kraj przed najeŸdŸcami z pó³nocy, cesarz Chin wydaje dekret nakazuj¹cy rekrutacjê do armii jednego mê¿czyzny z ka¿dej rodziny. Hua Mulan, najstarsza córka utytu³owanego wojownika, decyduje siê w tajemnicy wyruszyæ na wojnê zamiast niedomagaj¹cego ju¿ ojca. Przebrana za mê¿czyznê Hua na ka¿dym kroku poddawana jest próbom wymagaj¹cym od niej zmobilizowania wewnêtrznej si³y i wykorzystania pe³ni swoich mo¿liwoœci. W wyniku tej wielkiej przygody dziewczyna staje siê niez³omn¹ wojowniczk¹ oraz zdobywa szacunek wdziêcznego narodu i… dumnego ojca.;https://www.cinema-city.pl/xmedia-cw/repo/feats/posters/3636D2R-lg.jpg;https://www.youtube.com/watch?v=w89fawf8Uxc&ab_channel=DisneyFilmy
NAPRZÓD;Animowany, Komedia, Familijny, Fantasy;102 min;Janko i Bogdan, dwóch nastoletnich braci elfów postanawia zbadaæ, czy magia wci¹¿ istnieje. Ch³opcy otrzymuj¹ na 16. urodziny Janka zaklêcie, dziêki któremu bêd¹ mogli przywo³aæ do ¿ycia swojego nie¿yj¹cego tatê. Uda siê im to jednak tylko po³owicznie… Bracia maj¹ 24 godziny, aby odnaleŸæ drugie pó³ ojca! Aby zaklêcie zadzia³a³o w pe³ni bêd¹ musieli odszukaæ mapê Mantikory, legendarnej, nieustraszonej wojowniczki.;https://www.cinema-city.pl/xmedia-cw/repo/feats/posters/3569D2R-lg.jpg;https://www.youtube.com/watch?v=DQnBVSLdl10
JAK NAJDALEJ ST¥D;Dramat;98 min;Ola to zbuntowana nastolatka, która marzy o w³asnym samochodzie i wiêkszej ¿yciowej samodzielnoœci. Niespodziewane i tragiczne wiadomoœci z Irlandii, gdzie od lat pracuje jej ojciec sprawiaj¹, ¿e wyrusza sama w dalek¹ podró¿. Los przeznacza jej nie lada wyzwanie – w imieniu rodziny ma sprowadziæ cia³o zmar³ego do Polski.;https://www.cinema-city.pl/xmedia-cw/repo/feats/posters/4265O2R-lg.jpg;https://www.youtube.com/watch?v=rbi2_CjbVGA
PROCES SIÓDEMKI Z CHICAGO;Dramat s¹dowy;129 min;Pokojowy w za³o¿eniu protest podczas Krajowej Konwencji Demokratycznej w 1968 roku przerodzi³ siê w brutalne starcie z policj¹ i Gwardi¹ Narodow¹. Organizatorów protestu, wœród których znaleŸli siê Abbie Hoffman, Jerry Rubin, Tom Hayden i Bobby Seale, oskar¿ono o spisek w celu wywo³ania zamieszek. Proces, który by³ konsekwencj¹ tego oskar¿enia, okaza³ siê jednym z najs³ynniejszych w historii.;https://fwcdn.pl/fpo/12/41/451241/7931788.6.jpg;https://www.youtube.com/watch?v=f35C_CjOHlE
TENET;Thriller, Akcja, Sci-Fi;150 min;Uzbrojony tylko w jedno s³owo — Tenet — bohater przenika w mroczny œwiat miêdzynarodowych szpiegów, próbuj¹c ocaliæ ludzkoœæ. Do tego jednak nieodzowne okazuje siê skorzystanie ze zjawiska wykraczaj¹cego poza czas realny.;https://www.wprost.pl/_thumb/0f/55/20d4282cb1ab490f813d4ccea497.png;https://www.youtube.com/watch?v=EY-DF1zAqTs&ab_channel=KinoHeliosPolska
JAK ZOSTAÆ GWIAZD¥;Komedia obycz.;119 min;Kontrowersyjny program telewizyjny „Music Race” poszukuje muzycznych talentów na terenie ca³ej Polski. O tym, przed kim otworz¹ siê wszystkie drzwi, a komu na g³owie wyl¹duje kube³ zimnej wody, zdecyduje wyj¹tkowe jury. Na castingu, który odbywa siê w rodzinnej miejscowoœci Oli, dochodzi do awantury. Skandal jest na rêkê producentowi, który decyduje o zakwalifikowaniu Ostrej do dalszego etapu show. Wkrótce oka¿e siê, ¿e oprócz wybuchowego temperamentu, dziewczyna dysponuje tak¿e niesamowitym g³osem. ;https://cdn.galleries.smcloud.net/t/galleries/gf-1y6P-mCq4-w4n2_jak-zostac-gwiazda-664x442-nocrop.jpg;https://www.youtube.com/watch?v=xHxZp7AoMBo&ab_channel=KinoHeliosPolska
GREENLAND;Akcja, Sci-Fi;120 min;Naukowcy nie maj¹ w¹tpliwoœci: Ziemia nie zdo³a unikn¹æ zderzenia ze zbli¿aj¹c¹ siê do niej potê¿n¹ komet¹, a jego skutki bêd¹ katastrofalne. Wybitny in¿ynier John Garrity i jego rodzina s¹ w grupie wybrañców, którym w³adze zaoferowa³y bezpieczne schronienie w po³o¿onym na odludziu tajnym bunkrze. Wiêkszoœæ spo³eczeñstwa nie otrzymuje takiej szansy. Podczas gdy fragmenty rozpadaj¹cej siê komety niszcz¹ miasta i zabijaj¹ tysi¹ce ludzi, œwiat pogr¹¿a siê w chaosie. Wybuchaj¹ zamieszki, rozboje s¹ na porz¹dku dziennym, a s³u¿by trac¹ kontrolê nad sytuacj¹. W takich okolicznoœciach dotarcie na miejsce ewakuacji staje siê œmiertelnie niebezpiecznym wyzwaniem. Moment decyduj¹cego uderzenia zbli¿a siê nieub³aganie. John jest gotów na wszystko, by ocaliæ swoj¹ ¿onê i kochanego syna. Najbli¿sze kilkanaœcie godzin zdecyduje o wszystkim.;https://www.cinema-city.pl/xmedia-cw/repo/feats/posters/4125S2R-lg.jpg;https://www.youtube.com/watch?v=ku3oCtmU6jk
GNIAZDO;Dramat, Thriller;107 min;Rory dostaje propozycjê pracy i namawia swoj¹ ¿onê Allison na przeprowadzkê do Londynu, gdzie wreszcie ma szansê zarobiæ wielkie pieni¹dze i wieœæ luksusowe ¿ycie, o jakim zawsze marzy³. Bez wzglêdu na koszty, wynajmuje imponuj¹c¹ posiad³oœæ na przedmieœciach, a kiedy upragniony presti¿ i wysoka pozycja spo³eczna wydaj¹ siê byæ na wyci¹gniêcie rêki, Rory idzie o krok dalej i ³amie wszelkie zasady, podejmuj¹c coraz wiêksze ryzyko. Bez skrupu³ów d¹¿¹c do swojego celu, wpada w spiralê k³amstw, a w pozornie idealnym ¿yciu ma³¿eñskim zaczynaj¹ pojawiaæ siê rysy. Wielki dom obna¿a wzajemnie skrywane tajemnice, a to, co na zewn¹trz wydawa³o siê prawdziw¹ sielank¹, za zamkniêtymi drzwiami okazuje siê demaskowaæ prawdziwe oblicza ma³¿onków.;https://www.cinema-city.pl/xmedia-cw/repo/feats/posters/4287S2R-lg.jpg;https://www.youtube.com/watch?v=SBOy79BYegg
PÊTLA;Akcja;106 min;Patryk Vega powraca do „S³u¿b Specjalnych” i „Pitbulla” z najnowszym filmem „Pêtla”. Pokazuje prawdziw¹ historiê siatki klubów nocnych kontrolowanych przez agenta CBŒP, która sta³a siê elementem gry ukraiñskich i rosyjskich s³u¿b specjalnych poprzez sekstaœmy z udzia³em polityków, celebrytów, duchownych i innych osób z pierwszych stron gazet. Vega pozyska³ do wspó³pracy nie tylko wszystkich kluczowych uczestników tego procederu, ale równie¿ posiada nagrania z ukrytych kamer.;https://www.cinema-city.pl/xmedia-cw/repo/feats/posters/4112O2R-lg.jpg;https://www.youtube.com/watch?v=7T0lk0AnePA
25 LAT NIEWINNOŒCI. SPRAWA TOMKA KOMENDY;Dramat;118 min;Tomasz Komenda mia³ 23 lata, kiedy jego normalne ¿ycie zosta³o brutalnie przerwane. Zosta³ zatrzymany, wtr¹cony do wiêzienia i oskar¿ony o morderstwo. Kolejne ekspertyzy potwierdzi³y jego udzia³ w zbrodni, a wszelkie dowody dzia³a³y na jego niekorzyœæ. Sprawa Tomka Komendy” to poruszaj¹ca opowieœæ o niez³omnoœci ludzkiego ducha, wytrwa³oœci oraz sile, jaka tkwi w rodzinie. Pe³na napiêcia i mocnych, wyrazistych postaci historia, stworzona wed³ug najlepszych zachodnich wzorców. Pokazuj¹ca nieznane w¹tki i rzucaj¹ca nowe œwiat³o na wydarzenia, które doprowadzi³y do skazania i uniewinnienia Komendy.;https://www.cinema-city.pl/xmedia-cw/repo/feats/posters/4166O2R-lg.jpg;https://www.youtube.com/watch?v=NIRbU6cmIow
